ITER_MAX,float_eig_rmse,float_vec_rmse,float_pass,fixed_eig_rmse,fixed_vec_rmse,fixed_overflow,fixed_pass
1,2.28318114447445,0.34768117012566,0,2.27794708155101,0.347149797573342,0,0
2,0.266066687881408,0.246889787778616,0,0.265617205195389,0.237900814695852,0,0
3,0.0543307043436391,0.0889140542268585,0,0.0517264550117417,0.0876209270911755,0,0
4,0.00979911442072473,0.0376224684286753,0,0.00807895944963022,0.0362479606934833,0,0
5,0.00347231346161286,0.0183949527374105,0,0.00427373850186401,0.0181854306172612,0,0
6,0.00129134695210202,0.011216535736441,0,0.0049616393627017,0.0105767358828432,0,0
7,0.000479960891985925,0.00683787071527374,1,0.00542202345331972,0.00727421033031632,0,1
8,0.000178349403719119,0.00416818140721721,1,0.00605603078236817,0.00835739316852374,0,1
9,6.62676214563073e-05,0.00254073169448978,1,0.00675435277625813,0.00978165600693211,0,1
10,2.46216806213732e-05,0.00154869526170108,1,0.00738966294348726,0.0112379684079542,0,0
11,9.14806036544168e-06,0.000943998415767488,1,0.00818376135073813,0.0125897644115063,0,0
12,3.39890087145962e-06,0.00057540796209972,1,0.00898562388394777,0.0140195131946421,0,0
