WI,WO,FRAC_W,ACC_W,CORDIC_STAGES,max_eig_rmse,max_vec_rmse,overflow,pass,area_proxy,cycle_proxy,at_proxy
16,16,8,26,8,0.0798969197175525,0.0602749667984638,0,0,1344,847,1138368
16,16,8,26,9,0.0605747653624792,0.0530537780697017,0,0,1350,931,1256850
16,16,8,26,10,0.113138568110603,0.0546599974053039,0,0,1356,1015,1376340
16,16,8,26,11,0.141972829104309,0.0527038836907187,0,0,1362,1099,1496838
16,16,8,26,12,0.113083989075969,0.0642234270328539,0,0,1368,1183,1618344
16,16,8,26,13,0.150354449403871,0.0820765859815103,0,0,1374,1267,1740858
16,16,8,26,14,0.160677603753731,0.0698326992700785,0,0,1380,1351,1864380
16,16,8,26,15,0.14311576354419,0.0619969491617966,0,0,1386,1435,1988910
16,16,8,26,16,0.151314293524123,0.08754209609522,0,0,1392,1519,2114448
16,16,8,27,8,0.0798969197175525,0.0602749667984638,0,0,1386,847,1173942
16,16,8,27,9,0.0605747653624792,0.0530537780697017,0,0,1392,931,1295952
16,16,8,27,10,0.113138568110603,0.0546599974053039,0,0,1398,1015,1418970
16,16,8,27,11,0.141972829104309,0.0527038836907187,0,0,1404,1099,1542996
16,16,8,27,12,0.113083989075969,0.0642234270328539,0,0,1410,1183,1668030
16,16,8,27,13,0.150354449403871,0.0820765859815103,0,0,1416,1267,1794072
16,16,8,27,14,0.160677603753731,0.0698326992700785,0,0,1422,1351,1921122
16,16,8,27,15,0.14311576354419,0.0619969491617966,0,0,1428,1435,2049180
16,16,8,27,16,0.151314293524123,0.08754209609522,0,0,1434,1519,2178246
16,16,8,28,8,0.0798969197175525,0.0602749667984638,0,0,1428,847,1209516
16,16,8,28,9,0.0605747653624792,0.0530537780697017,0,0,1434,931,1335054
16,16,8,28,10,0.113138568110603,0.0546599974053039,0,0,1440,1015,1461600
16,16,8,28,11,0.141972829104309,0.0527038836907187,0,0,1446,1099,1589154
16,16,8,28,12,0.113083989075969,0.0642234270328539,0,0,1452,1183,1717716
16,16,8,28,13,0.150354449403871,0.0820765859815103,0,0,1458,1267,1847286
16,16,8,28,14,0.160677603753731,0.0698326992700785,0,0,1464,1351,1977864
16,16,8,28,15,0.14311576354419,0.0619969491617966,0,0,1470,1435,2109450
16,16,8,28,16,0.151314293524123,0.08754209609522,0,0,1476,1519,2242044
16,16,8,29,8,0.0798969197175525,0.0602749667984638,0,0,1470,847,1245090
16,16,8,29,9,0.0605747653624792,0.0530537780697017,0,0,1476,931,1374156
16,16,8,29,10,0.113138568110603,0.0546599974053039,0,0,1482,1015,1504230
16,16,8,29,11,0.141972829104309,0.0527038836907187,0,0,1488,1099,1635312
16,16,8,29,12,0.113083989075969,0.0642234270328539,0,0,1494,1183,1767402
16,16,8,29,13,0.150354449403871,0.0820765859815103,0,0,1500,1267,1900500
16,16,8,29,14,0.160677603753731,0.0698326992700785,0,0,1506,1351,2034606
16,16,8,29,15,0.14311576354419,0.0619969491617966,0,0,1512,1435,2169720
